risk_score,address,borough,bldgclass,garage_type,yearbuilt,numfloors,has_chargers,total_ev_ports,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,bldgarea_sqft,garagearea_sqft,small_garage,lat,lon,reasons
25,44-36 DOUGLASTON PARKWAY,QN,RM,under_residential,2021,5.0,False,0,0,none,0,72248.0,20890.0,False,40.7654647,-73.7449822,"built 2021, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 5 floors, multi-story (+10)"
25,269 GRAND CENTRAL PKWY,QN,D4,under_residential,1972,34.0,False,0,3,2013-02-28,0,3750565.0,945000.0,False,40.7567794,-73.7142153,"built 1972, pre-IBC 2003 (+15); DOB sprinkler permit on record (+0); 34 floors, multi-story (+10)"
25,101-48 95 STREET,QN,O7,under_commercial,1978,2.0,False,0,1,2019-03-22,0,32126.0,9810.0,False,40.6829483,-73.8449008,"built 1978, pre-IBC 2003 (+15); DOB sprinkler permit on record (+0); 2 floors (+5); FDNY: 1 open inspection/testing violation(s) (+5)"
25,140-35 QUEENS BOULEVARD,QN,RM,under_residential,2016,6.0,False,0,0,none,0,114406.0,21332.0,False,40.7032145,-73.8143776,"built 2016, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,148-31 90 AVENUE,QN,D1,under_residential,2019,9.0,False,0,0,none,0,101540.0,10790.0,False,40.7038375,-73.8060517,"built 2019, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 9 floors, multi-story (+10)"
25,141-48 84 DRIVE,QN,D1,under_residential,2008,7.0,False,0,0,none,0,30047.0,3882.0,False,40.7105468,-73.8149993,"built 2008, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,141-16 84 DRIVE,QN,R4,under_residential,2009,7.0,False,0,0,none,0,24290.0,2093.0,True,40.710043,-73.815769,"built 2009, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,143-20 HOOVER AVENUE,QN,R4,under_residential,2009,6.0,False,0,0,none,0,31151.0,4131.0,False,40.7140206,-73.8143403,"built 2009, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,88-20 PARSONS BOULEVARD,QN,RM,under_residential,2007,7.0,False,0,0,none,0,38190.0,3672.0,False,40.706156,-73.8022939,"built 2007, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 7 floors, multi-story (+10); FDNY: 1 open inspection/testing violation(s) (+5)"
25,87-83 168 STREET,QN,D7,under_residential,2019,6.0,False,0,0,none,0,16182.0,1445.0,True,40.709603,-73.7942185,"built 2019, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,89-16 175 STREET,QN,RM,under_residential,2008,6.0,False,0,0,none,0,62843.0,5285.0,False,40.710043,-73.787169,"built 2008, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 6 floors, multi-story (+10)"
25,87-12 175 STREET,QN,RM,under_residential,2009,7.0,False,0,0,none,0,21550.0,1224.0,True,40.7112329,-73.7879335,"built 2009, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 7 floors, multi-story (+10)"
25,88-11 179 PLACE,QN,RM,under_residential,2023,8.0,False,0,0,none,0,49867.0,3816.0,False,40.7125112,-73.7830923,"built 2023, modern code (+5); Post-2004 residential ≥4 floors — sprinklers required at construction by Local Law 26 but install may have been bundled in NB permit (+10); 8 floors, multi-story (+10)"
