risk_score,confidence,station_name,station_address,borough,yearbuilt,numfloors,total_ev_ports,charger_open_date,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,facility_type,confidence_reason,bldgclass,bldgarea_sqft,lat,lon,reasons
35,high,GGMC Belltel Car Park - Tesla Destination,356 Bridge St,BK,2009,51.0,3,2017-03-21,3,2010-09-17,0,PAY_GARAGE,named garage operator + garage-classified building,D7,456082.0,40.692579,-73.985252,"built 2009, modern code (+5); 3 L2 + 0 DC fast ports (+5); no sprinkler upgrade since charger install (+15); 51 floors, multi-story (+10)"
35,high,Icon Parking 5 E 22nd Street - Tesla Destination,5 E 22nd St,MN,1901,0.0,3,2016-04-30,3,2022-10-20,0,PAY_GARAGE,named garage operator,RM,17091.0,40.740458,-73.989037,"built 1901, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0)"
35,medium,City Parking Linc Garage - Tesla Destination,62 Northside Piers,BK,2007,30.0,3,2017-06-16,6,2013-11-08,0,PAY_GARAGE,name mentions garage/parking,R4,182864.0,40.719425,-73.963964,"built 2007, modern code (+5); 3 L2 + 0 DC fast ports (+5); no sprinkler upgrade since charger install (+15); 30 floors, multi-story (+10)"
35,high,iPark NYC 2234 North 6th - Tesla Destination,34 North 6th St,BK,2007,6.0,3,2015-09-18,1,2012-04-11,0,PAY_GARAGE,named garage operator + garage-classified building,RM,172738.0,40.71949,-73.963312,"built 2007, modern code (+5); 3 L2 + 0 DC fast ports (+5); no sprinkler upgrade since charger install (+15); 6 floors, multi-story (+10)"
35,high,Champion Parking W 53rd Street - Tesla Destination,159 W 53rd St,MN,1968,38.0,3,2015-08-19,22,2024-03-21,1,PAY_GARAGE,named garage operator + garage-classified building,RM,319734.0,40.763279,-73.98086,"built 1968, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 38 floors, multi-story (+10); 1 sprinkler violation(s) (+5)"
35,high,Quik Park Broadway Garage LLC - Tesla Destination,225-251 W 56th St,MN,1987,45.0,3,2015-05-21,23,2019-01-14,1,PAY_GARAGE,named garage operator,RM,729506.0,40.765844,-73.982481,"built 1987, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 45 floors, multi-story (+10); 1 sprinkler violation(s) (+5)"
35,low,NYC FLEET / DOE_Q430-1,58-20 Utopia Pkwy,QN,2016,0.0,2,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,G7,0.0,40.740724,-73.79283,"built 2016, modern code (+5); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25)"
35,low,NYC FLEET / DOH_56 DRIVE,5617 56Th Dr,QN,2020,1.0,1,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,E1,8363.0,40.72441,-73.914492,"built 2020, modern code (+5); 1 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25)"
32,medium,250 Vesey,250 Vesey St,MN,1986,34.0,2,2022-09-15,100,2026-02-18,2,PARKING_GARAGE,building has garage area + multiple floors,O4,2084079.0,40.714113,-74.01581,"built 1986, pre-IBC 2003 (+15); 2 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 34 floors, multi-story (+10); 2 minor violation(s) (exit signs/backup power) (+2)"
31,high,Icon Parking 70 Gold Street - Tesla Destination,80 Gold St,MN,1968,8.0,3,2018-02-28,65,2025-01-28,1,PAY_GARAGE,named garage operator,I1,301941.0,40.710019,-74.004385,"built 1968, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 8 floors, multi-story (+10); 1 minor violation(s) (exit signs/backup power) (+1)"
31,high,Standard Parking 2 Metrotech - Tesla Destination,8 Metrotech Ctr S,BK,1989,11.0,3,2018-05-24,60,2026-01-29,1,PAY_GARAGE,named garage operator + garage-classified building,O6,598232.0,40.693122,-73.985696,"built 1989, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 11 floors, multi-story (+10); 1 minor violation(s) (exit signs/backup power) (+1)"
30,low,Park Kwik LLC 50 Washington St. - Tesla Destination,45 Main St,BK,2002,10.0,3,2017-08-10,2,2023-05-25,0,PAY_GARAGE,no strong evidence charger is inside a structure,RM,26247.0,40.702882,-73.990594,"built 2002, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 10 floors, multi-story (+10)"
30,high,Standard Parking 1 Metrotech - Tesla Destination,351 Jay St,BK,1970,13.0,3,2018-05-24,11,2021-12-21,0,PAY_GARAGE,named garage operator,W6,444970.0,40.69306,-73.987222,"built 1970, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 13 floors, multi-story (+10)"
30,high,Standard Parking 15 Metrotech - Tesla Destination,15 Metrotech Ctr S,BK,2002,19.0,3,2018-05-24,48,2022-03-02,0,PAY_GARAGE,named garage operator + garage-classified building,O6,691645.0,40.693999,-73.983809,"built 2002, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 19 floors, multi-story (+10)"
30,high,iPark NYC 61 Jane Street - Tesla Destination,61 Jane St,MN,1999,4.0,3,2015-06-01,2,2017-02-16,0,PAY_GARAGE,named garage operator,RM,6631.0,40.738733,-74.006009,"built 1999, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 4 floors, multi-story (+10)"
30,high,Standard Parking 151 W 17th Street - Tesla Destination,151 W 17th St,MN,1968,10.0,3,2017-07-11,7,2018-04-26,0,PAY_GARAGE,named garage operator,RM,34581.0,40.740243,-73.997591,"built 1968, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 10 floors, multi-story (+10)"
30,high,iPark NYU 377 E 33rd Street - Tesla Destination,377 E 33rd St,MN,1998,23.0,3,2017-08-23,5,2026-02-04,0,PAY_GARAGE,named garage operator + garage-classified building,D8,213549.0,40.743405,-73.974735,"built 1998, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 23 floors, multi-story (+10)"
30,high,Quik Park West 57 LLC - Tesla Destination,9 W 57th St,MN,1971,49.0,3,2015-05-21,100,2026-01-15,0,PAY_GARAGE,named garage operator + garage-classified building,O4,1698259.0,40.764259,-73.974972,"built 1971, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 49 floors, multi-story (+10)"
30,medium,"MTP Parking, The Helena - Tesla Destination",601 W 57th St,MN,2003,38.0,2,2016-08-19,14,2024-09-03,0,PAY_GARAGE,building has garage area + multiple floors,D6,547239.0,40.770709,-73.991725,"built 2003, pre-IBC 2003 (+15); 2 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 38 floors, multi-story (+10)"
30,high,Icon Parking 30 W 63rd St - Tesla Destination,30 W 63rd St,MN,1979,33.0,2,2016-10-20,4,2017-02-21,0,PAY_GARAGE,named garage operator + garage-classified building,RM,586010.0,40.770772,-73.981795,"built 1979, pre-IBC 2003 (+15); 2 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 33 floors, multi-story (+10)"
30,high,Icon Parking 200 E 65th Street - Tesla Destination,200 E 65th St,MN,1987,50.0,3,2017-08-17,16,2025-10-21,0,PAY_GARAGE,named garage operator + garage-classified building,RM,458611.0,40.765108,-73.963389,"built 1987, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 50 floors, multi-story (+10)"
30,high,Icon Parking 101 West End Ave - Tesla Destination,101 West End Ave,MN,1999,33.0,3,2016-01-21,12,2018-01-26,0,PAY_GARAGE,named garage operator + garage-classified building,D9,631204.0,40.775065,-73.988572,"built 1999, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 33 floors, multi-story (+10)"
30,high,Icon Parking Independent - Tesla Destination,417 E 71st St,MN,1990,44.0,3,2017-08-30,1,2019-01-30,0,PAY_GARAGE,named garage operator + garage-classified building,RM,319152.0,40.766708,-73.955483,"built 1990, pre-IBC 2003 (+15); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 44 floors, multi-story (+10)"
30,medium,NYC FLEET / DEP_MNREPAIR-1,28 Pike St,MN,2002,11.0,2,,2,2021-04-15,0,FLEET_STATION,fleet station in garage-classified building,RM,74881.0,40.71282,-73.992461,"built 2002, pre-IBC 2003 (+15); 2 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 11 floors, multi-story (+10)"
30,medium,NYC FLEET / DEP_MNRPR_1_L3,30 Pike St,MN,2002,11.0,1,,2,2021-04-15,0,FLEET_STATION,fleet station in garage-classified building,RM,74881.0,40.712735,-73.99245,"built 2002, pre-IBC 2003 (+15); 1 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 11 floors, multi-story (+10)"
30,low,NYC FLEET / DOT_PIER36#1,299 South St,MN,1975,27.0,2,,4,2022-09-29,0,FLEET_STATION,fleet station — may be outdoor/surface lot,D6,277260.0,40.710508,-73.986196,"built 1975, pre-IBC 2003 (+15); 2 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 27 floors, multi-story (+10)"
25,high,DSL Marketing and Energy Icon Parking,57 W 53rd St,MN,2015,73.0,4,2022-09-15,14,2026-03-17,0,PARKING_GARAGE,named garage operator,RM,525820.0,40.761698,-73.978338,"built 2015, modern code (+5); 4 L2 + 0 DC fast ports (+10); sprinkler work after charger install (+0); 73 floors, multi-story (+10)"
25,low,NYC FLEET / DOC_VBAIN-S,1 Halleck Street,BX,2003,2.0,1,,3,2021-03-02,0,FLEET_STATION,fleet station — may be outdoor/surface lot,Z9,426172.0,40.802228,-73.877557,"built 2003, pre-IBC 2003 (+15); 1 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 2 floors (+5)"
20,high,Standard Parking 270 Greenwich - Tesla Destination,270 Greenwich St,MN,2016,63.0,3,2018-01-08,12,2026-01-22,0,PAY_GARAGE,named garage operator,RM,332029.0,40.715071,-74.012203,"built 2016, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 63 floors, multi-story (+10)"
20,high,Central Parking 200 Chambers - Tesla Destination,200 Chambers St,MN,2005,29.0,3,2018-01-09,27,2025-11-20,0,PAY_GARAGE,named garage operator + garage-classified building,RM,403258.0,40.716256,-74.012543,"built 2005, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 29 floors, multi-story (+10)"
20,high,Icon Liberty View Parking - Tesla Destination,400 Murray St,MN,2006,31.0,3,2017-06-13,16,2023-05-25,0,PAY_GARAGE,named garage operator + garage-classified building,RM,507070.0,40.716079,-74.015929,"built 2006, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 31 floors, multi-story (+10)"
20,high,Icon Parking 11 5th Ave - Tesla Destination,11 5th Ave,MN,2024,18.0,3,2016-01-21,4,2022-11-17,0,PAY_GARAGE,named garage operator,D3,69623.0,40.732085,-73.995829,"built 2024, modern code (+5); 3 L2 + 0 DC fast ports (+5); sprinkler work after charger install (+0); 18 floors, multi-story (+10)"
