risk_score,confidence,station_name,station_address,borough,yearbuilt,numfloors,total_ev_ports,charger_open_date,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,facility_type,confidence_reason,bldgclass,bldgarea_sqft,lat,lon,reasons
78,medium,NYC FLEET / DEP_179PMP_1_L3,2405 Amsterdam Avenue,MN,1922,4.0,2,,0,none,1,FLEET_STATION,fleet station in garage-classified building,G1,26264.0,40.846982,-73.931709,"built 1922, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10); 1 critical violation(s) (emergency/unsafe/structural) (+8)"
78,high,Discount Parking 180 Ashland Place - Tesla Destination,180 Ashland Pl,BK,1925,4.0,2,2016-05-06,0,none,1,PAY_GARAGE,named garage operator,S3,6668.0,40.689457,-73.978606,"built 1925, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10); 1 critical violation(s) (emergency/unsafe/structural) (+8)"
76,low,NYC FLEET / DOT_HARPER-S2,32-1 Harper St,QN,1937,1.0,1,,0,none,2,FLEET_STATION,fleet station — may be outdoor/surface lot,T9,239168.0,40.764388,-73.842368,"built 1937, pre-1968 code (+30); 1 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 2 critical violation(s) (emergency/unsafe/structural) (+16)"
75,high,GGMC Parking Union Square Parking Garage - Tesla Destination,100 E 15th St,MN,1962,9.0,6,2015-11-13,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,50174.0,40.734939,-73.989409,"built 1962, pre-1968 code (+30); 6 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 9 floors, multi-story (+10)"
75,high,Standard Parking 21 East 15th Street - Tesla Destination,21 E 15th St,MN,1910,8.0,3,2016-12-09,0,none,1,PAY_GARAGE,named garage operator,O6,19846.0,40.736293,-73.991939,"built 1910, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 8 floors, multi-story (+10); 1 sprinkler violation(s) (+5)"
75,high,Icon Parking 101 W 15th - Tesla Destination,101 W 15th St,MN,1910,3.0,4,2018-08-10,0,none,0,PAY_GARAGE,named garage operator,S5,7050.0,40.738371,-73.99688,"built 1910, pre-1968 code (+30); 4 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
75,medium,StuyTown 279 Ave C - Garage 4,251 Avenue C,MN,1920,1.0,20,2022-05-16,0,none,0,PARKING_GARAGE,name mentions garage/parking,Q1,750.0,40.7308,-73.9747,"built 1920, pre-1968 code (+30); 20 L2 + 0 DC fast ports, high density (+20); no sprinkler permits on record (+25)"
75,high,iPark 22/34 N 6th Garage Corp - Tesla Destination,22 N 5th St,BK,1940,3.0,4,2017-03-14,0,none,0,PAY_GARAGE,named garage operator,K4,6755.0,40.719338,-73.963081,"built 1940, pre-1968 code (+30); 4 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
75,low,NYC FLEET / DCAS_BKNVY_1_L3,2 Navy St,BK,1950,14.0,5,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,D3,500000.0,40.70061,-73.98042,"built 1950, pre-1968 code (+30); 5 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 14 floors, multi-story (+10)"
70,high,Rapidpark 25-27 Beekman Street - Tesla Destination,25-27 Beekman St,MN,1963,6.0,3,2017-06-13,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,36246.0,40.710786,-74.006017,"built 1963, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
70,high,Icon Parking Wall Park - Tesla Destination,39 Exchange Pl,MN,1962,8.0,3,2016-12-29,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,87775.0,40.705922,-74.010175,"built 1962, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 8 floors, multi-story (+10)"
70,high,Icon 376 Greenwich Street - Tesla Destination,376 Greenwich St,MN,1914,5.0,3,2017-07-17,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,41067.0,40.719825,-74.010137,"built 1914, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 5 floors, multi-story (+10)"
70,high,Parkit 10 Wooster St. - Tesla Destination,6-10 Wooster St,MN,1928,4.0,3,2015-05-21,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,38308.0,40.721658,-74.004402,"built 1928, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Icon Parking 14-26 William Street - Tesla Destination,14-26 William St,MN,1962,8.0,3,2016-04-30,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,87775.0,40.704514,-74.01074,"built 1962, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 8 floors, multi-story (+10)"
70,high,Quik Park 311 West Broadway LLC - Tesla Destination,311 W Broadway,MN,1928,4.0,2,2016-03-10,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,38308.0,40.721801,-74.004237,"built 1928, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,GGMC The Cove - Tesla Destination,99 Battery Pl,MN,1967,8.0,3,2017-06-07,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,112000.0,40.707738,-74.016845,"built 1967, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 8 floors, multi-story (+10)"
70,high,Quik Park Little West LLC - Tesla Destination,70 Little West St,MN,1967,8.0,3,2015-05-21,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,112000.0,40.70663,-74.016916,"built 1967, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 8 floors, multi-story (+10)"
70,high,Parkit 575 Washington - Tesla Destination,575 Washington St,MN,1925,2.0,6,2015-06-01,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,27082.0,40.729364,-74.008513,"built 1925, pre-1968 code (+30); 6 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 2 floors (+5)"
70,high,Parkit 221 Thompson Street - Tesla Destination,221 Thompson St,MN,1919,3.0,3,2015-11-13,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,32480.0,40.729234,-73.999013,"built 1919, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
70,high,Parkit 403 Lafayette St. - Tesla Destination,403 Lafayette St,MN,1931,3.0,2,2015-05-21,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,33996.0,40.728287,-73.992746,"built 1931, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
70,high,GGMC Parking Stewart House Garage - Tesla Destination,91 East 9th St,MN,1930,6.0,3,2016-01-21,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,21595.0,40.731257,-73.992101,"built 1930, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
70,high,140 Charles St - Garage,140 Charles St,MN,1945,1.0,11,2022-09-15,0,none,0,PARKING_GARAGE,PLUTO garage building class,G1,1972.0,40.734018,-74.007895,"built 1945, pre-1968 code (+30); 11 L2 + 0 DC fast ports, moderate density (+15); no sprinkler permits on record (+25)"
70,high,Icon Parking University 10 Parking - Tesla Destination,63 E 9th St,MN,1930,6.0,3,2016-04-30,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,21595.0,40.731887,-73.991906,"built 1930, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
70,high,Apple Parking 332 W 11th Street - Tesla Destination,332 W 11th St,MN,1905,5.0,3,2017-03-10,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,24840.0,40.735597,-74.007693,"built 1905, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 5 floors, multi-story (+10)"
70,high,Parkit 310 E 11th Street - Tesla Destination,310 E 11th St,MN,1900,5.0,3,2016-12-27,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,21700.0,40.730017,-73.985512,"built 1900, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 5 floors, multi-story (+10)"
70,high,iPark 107 West 13th Street - Tesla Destination,107 W 13th St,MN,1900,7.0,3,2018-02-26,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,21400.0,40.736973,-73.99787,"built 1900, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 7 floors, multi-story (+10)"
70,high,Icon Parking 55 W 14th Street - Tesla Destination,55 W 14th St,MN,1900,7.0,3,2016-04-30,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,21400.0,40.737122,-73.996119,"built 1900, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 7 floors, multi-story (+10)"
70,high,Champion Parking E 16th Street - Tesla Destination,101 E 16th St,MN,1962,9.0,3,2015-06-01,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,50174.0,40.735736,-73.988745,"built 1962, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 9 floors, multi-story (+10)"
70,high,Rapidpark 10 E 30th Street - Tesla Destination,10 E 30th St,MN,1958,8.0,3,2017-06-13,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,48500.0,40.74556,-73.985539,"built 1958, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 8 floors, multi-story (+10)"
70,high,Icon Parking 200 E 32nd Street - Tesla Destination,200 E 32nd St,MN,1925,4.0,3,2016-12-09,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,27800.0,40.744916,-73.980228,"built 1925, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Rapidpark 148 E 33rd Street - Tesla Destination,148 E 33rd St,MN,1925,4.0,3,2017-06-13,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,27800.0,40.745432,-73.97956,"built 1925, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,City Parking Garment One Garage - Tesla Destination,155 E 34th St,MN,1925,4.0,3,2017-06-16,0,none,0,PAY_GARAGE,PLUTO garage building class,G1,27800.0,40.746022,-73.978693,"built 1925, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Icon 9-11 Park Ave - Tesla Destination,9 - 11 Park Ave,MN,1965,8.0,3,2017-06-13,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,35286.0,40.747299,-73.981039,"built 1965, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 8 floors, multi-story (+10)"
70,high,GGMC Parking 350 W 43rd Street Garage - Tesla Destination,350 West 43rd St,MN,1959,4.0,3,2016-01-21,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,44564.0,40.758586,-73.991341,"built 1959, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Rapidpark 906 Union Street - Tesla Destination,906 Union St,BK,1931,3.0,3,2017-06-13,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,19125.0,40.672884,-73.971541,"built 1931, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
70,high,iPark 386 E 48th Street - Tesla Destination,386 E 48th St,MN,1950,4.0,3,2017-03-10,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,61700.0,40.7529,-73.967723,"built 1950, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Icon Parking E 48th Street - Tesla Destination,329 E 48th St,MN,1950,4.0,3,2015-11-13,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,61700.0,40.753079,-73.968032,"built 1950, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,ABM Parking Services 285 W 50th Street LLC - Tesla Destination,285 W 50th St,MN,1920,4.0,3,2016-03-10,0,none,0,PAY_GARAGE,PLUTO garage building class,G1,27618.0,40.762411,-73.984495,"built 1920, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Rapidpark 411 W 55th Street - Tesla Destination,411 W 55th St,MN,1911,6.0,3,2017-07-17,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,30432.0,40.766971,-73.987441,"built 1911, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
70,high,City Parking E 61st Street - Tesla Destination,425 E 61st St,MN,1929,6.0,3,2017-06-16,0,none,0,PAY_GARAGE,PLUTO garage building class,G1,40686.0,40.760289,-73.959501,"built 1929, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
70,medium,NYC FLEET / DOE_Q80102,44-36 Vernon Blvd,QN,1931,1.0,14,,0,none,0,FLEET_STATION,fleet station in garage-classified building,G1,20000.0,40.749384,-73.952233,"built 1931, pre-1968 code (+30); 14 L2 + 0 DC fast ports, moderate density (+15); no sprinkler permits on record (+25)"
70,high,Champion Parking 60 E 8th - Tesla Destination,60-68 E 8th St,MN,1965,31.0,3,2015-05-21,0,none,0,PAY_GARAGE,named garage operator,RM,512503.0,40.730487,-73.993569,"built 1965, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 31 floors, multi-story (+10)"
70,high,Icon Parking 12 East 9th Street - Tesla Destination,12 E 9th St,MN,1921,15.0,3,2016-01-21,0,none,0,PAY_GARAGE,named garage operator,RM,92481.0,40.732519,-73.995135,"built 1921, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 15 floors, multi-story (+10)"
70,low,Quikpark 173 W 12th Street - Tesla Destination,173 W 12th St,MN,1899,3.0,3,2017-07-17,0,none,0,PAY_GARAGE,no strong evidence charger is inside a structure,A4,3200.0,40.737108,-74.000358,"built 1899, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
70,high,iPark 10 West 15th - Tesla Destination,10 W 15th,MN,1960,7.0,3,2018-05-30,0,none,0,PAY_GARAGE,named garage operator,D4,151500.0,40.737171,-73.994331,"built 1960, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 7 floors, multi-story (+10)"
70,low,GMC 388 Bridge Street - Tesla Destination,388 Bridge St,BK,1920,6.0,3,2018-04-30,0,none,0,PAY_GARAGE,no strong evidence charger is inside a structure,K4,3754.0,40.691469,-73.985446,"built 1920, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
70,medium,StuyTown 527 E 14 - Garage 6,527 E 14th St,MN,1880,4.0,19,2022-05-23,1,1995-04-14,0,PARKING_GARAGE,name mentions garage/parking,C7,18285.0,40.7344,-73.9794,"built 1880, pre-1968 code (+30); 19 L2 + 0 DC fast ports, moderate density (+15); no sprinkler upgrade since charger install (+15); 4 floors, multi-story (+10)"
70,high,Standard Parking 800 6th Ave - Tesla Destination,54 W 28th St,MN,1920,4.0,3,2017-07-17,0,none,0,PAY_GARAGE,named garage operator,O5,4517.0,40.745842,-73.990103,"built 1920, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,medium,Little Man Parking (Queens West) - Tesla Destination,4-76 47th Ave,QN,1931,4.0,3,2017-03-09,0,none,0,PAY_GARAGE,name mentions garage/parking,C1,6600.0,40.745627,-73.955638,"built 1931, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Icon Parking 810 Seventh Ave - Tesla Destination,207 W 52nd St,MN,1916,13.0,3,2016-05-03,0,none,0,PAY_GARAGE,named garage operator,RM,141350.0,40.762568,-73.982718,"built 1916, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 13 floors, multi-story (+10)"
70,high,Icon Parking 1350 Avenue of the Americas - Tesla Destination,1350 6th Ave,MN,1963,20.0,3,2015-08-07,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,RM,162553.0,40.762855,-73.977795,"built 1963, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 20 floors, multi-story (+10)"
70,high,iPark NYC 425 E 58th Street - Tesla Destination,425 E 58th St,MN,1899,4.0,3,2016-07-19,0,none,0,PAY_GARAGE,named garage operator,A4,3600.0,40.758519,-73.961272,"built 1899, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Icon Parking 203 E 61 Street - Tesla Destination,203 E 61 St,MN,1940,4.0,3,2016-04-30,0,none,0,PAY_GARAGE,named garage operator,K4,10400.0,40.762678,-73.965447,"built 1940, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,iPark 650 Parking Corp - Tesla Destination,80 E 67th St,MN,1941,13.0,3,2018-05-24,0,none,0,PAY_GARAGE,named garage operator,RM,60242.0,40.768144,-73.966736,"built 1941, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 13 floors, multi-story (+10)"
70,high,iPark 3 E 67th Street - Tesla Destination,3 E 67th St,MN,1934,9.0,3,2017-03-10,0,none,0,PAY_GARAGE,named garage operator,R4,17574.0,40.769061,-73.96876,"built 1934, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 9 floors, multi-story (+10)"
70,medium,Prime Parking Systems - 155 E 68th Street - Tesla Destination,155 E 68th St,MN,1890,6.0,3,2015-07-23,0,none,0,PAY_GARAGE,name mentions garage/parking,W9,26158.0,40.767743,-73.963665,"built 1890, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 6 floors, multi-story (+10)"
70,high,Rapidpark 15 W 72nd Street - Tesla Destination,15 W 72nd St,MN,1926,15.5,3,2017-04-13,0,none,0,PAY_GARAGE,named garage operator,RM,136189.0,40.776813,-73.977083,"built 1926, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 15 floors, multi-story (+10)"
70,low,NYC FLEET / DCAS_QBH_4_L3,120-55 Queens Blvd,QN,1951,7.0,2,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,RM,74558.0,40.713329,-73.828601,"built 1951, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 7 floors, multi-story (+10)"
70,low,NYC FLEET / DEP_GOWANUSSP,201 Douglass St,BK,1920,3.0,2,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,C3,3750.0,40.681639,-73.987684,"built 1920, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
70,low,NYC FLEET / DEP_MNSEWR_1_L3,886 St Nicholas Ave,MN,1925,5.0,2,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,P2,21595.0,40.83028,-73.941602,"built 1925, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 5 floors, multi-story (+10)"
70,low,NYC FLEET / DEP_QNSWTR_1_L3,49-14 Fresh Meadow Ln,QN,1950,2.0,6,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,A1,2440.0,40.747092,-73.794673,"built 1950, pre-1968 code (+30); 6 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 2 floors (+5)"
70,low,NYC FLEET / DOE_ Q0001,165-65 84Th Ave,QN,1960,3.0,3,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,C0,3265.0,40.715389,-73.800369,"built 1960, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
70,low,NYC FLEET / DOE_131LIV-1,131 Livingston St,BK,1926,4.0,3,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,O7,12681.0,40.690743,-73.988605,"built 1926, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,low,NYC FLEET / DOE_JFKHS-S1,1-49 Teunissen Pl,MN,1920,2.5,1,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,B3,3351.0,40.876606,-73.912839,"built 1920, pre-1968 code (+30); 1 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 2 floors, multi-story (+10)"
70,low,NYC FLEET / DOE_K0001,50 Bedford Ave,BK,1937,3.0,1,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,Q1,55350.0,40.721981,-73.953281,"built 1937, pre-1968 code (+30); 1 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 3 floors, multi-story (+10)"
70,low,NYC FLEET / DOE_KNGHWY197#1,1599 E 22nd St,BK,1924,5.0,1,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,W1,85928.0,40.612623,-73.951906,"built 1924, pre-1968 code (+30); 1 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 5 floors, multi-story (+10)"
70,low,NYC FLEET / DOE_M466,549 Audubon Ave,MN,1923,5.0,1,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,C1,25910.0,40.855855,-73.92712,"built 1923, pre-1968 code (+30); 1 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 5 floors, multi-story (+10)"
70,low,NYC FLEET / DOE_MCCUNE-#1,173 West 151st Street,MN,1956,5.0,2,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,D1,150910.0,40.825191,-73.935731,"built 1956, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 5 floors, multi-story (+10)"
70,low,NYC FLEET / DOEM535,525 West 50Th St,MN,1920,4.0,2,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,RB,102164.0,40.765234,-73.993076,"built 1920, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,low,NYC FLEET / DOH_BEDFORDHCS1,515 Putnam Ave,BK,1954,4.0,1,,0,none,0,FLEET_STATION,fleet station — may be outdoor/surface lot,I5,69500.0,40.685146,-73.940431,"built 1954, pre-1968 code (+30); 1 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 4 floors, multi-story (+10)"
70,high,Jerome 190th St Municipal Parking,2543 Jerome Ave,BX,1920,2.0,6,2024-01-01,0,none,0,MUNICIPAL_GARAGE,municipal parking garage,A9,2500.0,40.8614,-73.8995,"built 1920, pre-1968 code (+30); 6 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 2 floors (+5)"
70,high,Queens Borough Hall Municipal Garage,120-55 Queens Blvd,QN,1940,6.0,12,2024-01-01,4,2014-10-10,0,MUNICIPAL_GARAGE,municipal parking garage,D4,112500.0,40.7157,-73.831,"built 1940, pre-1968 code (+30); 12 L2 + 0 DC fast ports, moderate density (+15); no sprinkler upgrade since charger install (+15); 6 floors, multi-story (+10)"
70,high,Bay Ridge Municipal Garage,635 Bay Ridge Ave,BK,1915,2.0,6,2024-01-01,0,none,0,MUNICIPAL_GARAGE,municipal parking garage,C0,2880.0,40.6361,-74.0233,"built 1915, pre-1968 code (+30); 6 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 2 floors (+5)"
70,high,Queens Family Court Municipal Garage,151-20 Jamaica Ave,QN,1910,2.0,4,2024-01-01,0,none,0,MUNICIPAL_GARAGE,municipal parking garage,B2,1904.0,40.7035,-73.8015,"built 1910, pre-1968 code (+30); 4 L2 + 0 DC fast ports (+10); no sprinkler permits on record (+25); 2 floors (+5)"
70,high,Hunts Point Municipal Parking,730 Manida St,BX,1915,5.0,2,2024-01-01,0,none,0,MUNICIPAL_GARAGE,municipal parking garage,W1,45200.0,40.8145,-73.8867,"built 1915, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 5 floors, multi-story (+10)"
68,high,MPG 100 Jay Street - Tesla Destination,100 Jay St,BK,1914,10.0,3,2017-08-17,4,2008-07-30,1,PAY_GARAGE,named garage operator,O6,320000.0,40.702194,-73.98672,"built 1914, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler upgrade since charger install (+15); 10 floors, multi-story (+10); 1 critical violation(s) (emergency/unsafe/structural) (+8)"
68,low,NYC FLEET / DEPNTWNOFFICE-1,329 Greenpoint Avenue,BK,0,0.0,14,,0,none,1,FLEET_STATION,fleet station — may be outdoor/surface lot,G7,0.0,40.731483,-73.946271,"unknown construction date (+20); 14 L2 + 0 DC fast ports, moderate density (+15); no sprinkler permits on record (+25); 1 critical violation(s) (emergency/unsafe/structural) (+8)"
68,low,NYC FLEET / DOE_STJOSEPH-1,85 St Josephs Ave,SI,1927,3.0,1,,1,1992-09-30,1,FLEET_STATION,fleet station — may be outdoor/surface lot,W1,175000.0,40.634573,-74.141818,"built 1927, pre-1968 code (+30); 1 L2 + 0 DC fast ports (+5); no sprinkler upgrade since charger install (+15); 3 floors, multi-story (+10); 1 critical violation(s) (emergency/unsafe/structural) (+8)"
65,high,iPark NYC 44 Elizabeth Street - Tesla Destination,44 Elizabeth St,MN,1958,2.0,3,2016-02-16,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,28875.0,40.716966,-73.996707,"built 1958, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 2 floors (+5)"
65,high,152 Ashland - 1st Floor and Cellar East,152 Ashland Pl,BK,1946,1.0,20,2021-11-20,6,2014-03-25,0,PARKING_GARAGE,PLUTO garage building class,G1,84350.0,40.6923,-73.9797,"built 1946, pre-1968 code (+30); 20 L2 + 0 DC fast ports, high density (+20); no sprinkler upgrade since charger install (+15)"
65,high,iPark NYC 549 W 23rd Street - Tesla Destination,549 W 23rd St,MN,1910,2.0,3,2015-05-15,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,34562.0,40.749255,-74.005914,"built 1910, pre-1968 code (+30); 3 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 2 floors (+5)"
65,high,GGMC Parking - 550 W 25th - Tesla Destination,550 W 25th St,MN,1910,2.0,2,2015-08-21,0,none,0,PAY_GARAGE,named garage operator + garage-classified building,G1,34562.0,40.74979,-74.005335,"built 1910, pre-1968 code (+30); 2 L2 + 0 DC fast ports (+5); no sprinkler permits on record (+25); 2 floors (+5)"
